Date Delisted	Species Name	Date SpeciesFirst Listed	Reason Delisted	Domestic or Foreign	FWS or NMFS
1985/02/04	Pelican, brown (Pelecanus occidentalis)                              - U.S. Atlantic coast, FL, AL	1970/06/02	Recovered	Both Domestic and Foreign	FWS
1984/08/31	Butterfly, Bahama swallowtail (Heraclides andraemon bonhotei)                              - Wherever found	1976/04/28	Original Data in Error - Act amendment	Both Domestic and Foreign	FWS
1984/02/29	Turtle, Indian flap-shelled (Lissemys punctata punctata)                              - Wherever found	1976/06/14	Original Data in Error - Erroneous data	Foreign	FWS
1984/01/09	Pearlymussel, Sampson's (Epioblasma sampsoni)                              - Wherever found	1976/06/14	Extinct	Domestic	FWS
1983/11/22	Treefrog, pine barrens (Hyla andersonii)                              - FL pop.	1977/12/18	Original Data in Error - New information discovered	Domestic	FWS
1983/10/12	Sparrow, Santa Barbara song (Melospiza melodia graminea)                              - Wherever found	1973/06/04	Extinct	Domestic	FWS
1983/09/02	Cisco, longjaw (Coregonus alpenae)                              - Wherever found	1967/03/11	Extinct	Both Domestic and Foreign	FWS
1983/09/02	Pike, blue (Stizostedion vitreum glaucum)                              - Wherever found	1967/03/11	Extinct	Both Domestic and Foreign	FWS
1982/01/15	Pupfish, Tecopa (Cyprinodon nevadensis calidae)                              - Wherever found	1970/10/13	Extinct	Domestic	FWS
1978/07/25	Duck, Mexican (Anas diazi)                              - U.S.A. only	1967/03/11	Original Data in Error - Taxonomic revision	Domestic	FWS
